,0
436,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
437,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
438,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
439,"40Al Horford, COklahoma City Thunder$27,500,000"
440,"1Stephen Curry, PGGolden State Warriors$43,006,362"
441,"3Chris Paul, PGPhoenix Suns$41,358,814"
442,"5John Wall, PGHouston Rockets$41,254,920"
443,"7LeBron James, SFLos Angeles Lakers$39,219,565"
444,"9Paul George, SGLA Clippers$35,450,412"
445,"11Mike Conley, PGUtah Jazz$34,502,130"
446,"13Kawhi Leonard, SFLA Clippers$34,379,100"
447,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
448,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
449,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
450,"21Pascal Siakam, PFToronto Raptors$30,559,200"
451,"23Kyle Lowry, PGToronto Raptors$30,500,000"
452,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
453,"27Nikola Jokic, CDenver Nuggets$29,542,010"
